T,beta_true,Hbeta_post,beta_map
24,0.5,0.7778824097413809,0.5
9,0.5,1.7286281942809323,3.0
16,0.5,0.9893460276063135,0.5
15,0.5,0.9478997244027074,1.0
17,0.5,0.9956338192624933,0.5
11,0.5,1.4740044049423493,1.0
23,0.5,0.5156846581754455,0.5
11,0.5,1.4155354579947235,1.0
24,0.5,0.5724927178518185,0.5
30,0.5,0.15396471596940614,0.5
30,0.5,0.6116198408930337,0.5
28,0.5,0.6213503225860559,0.5
20,0.5,0.9381738115078235,0.5
26,0.5,0.35959156707946743,0.5
18,0.5,0.978400899259747,0.5
13,0.5,1.011809960610901,1.0
23,0.5,0.39964680301841454,0.5
10,0.5,1.3969682826011502,1.0
12,0.5,0.9657721617563949,1.0
30,0.5,0.15709743430596274,0.5
11,0.5,1.1017574524919773,1.0
21,0.5,0.9280329052113504,0.5
17,0.5,0.7458188794907067,0.5
30,0.5,0.12192023806225337,0.5
23,0.5,0.6719542259940856,0.5
24,0.5,0.5025048674205785,0.5
27,0.5,0.5673663262207966,0.5
24,0.5,0.8224955745700187,0.5
12,0.5,1.0341838843762976,1.0
30,0.5,0.22493221611648845,0.5
11,0.5,1.0644768849928425,1.0
18,0.5,0.9249802882636894,0.5
11,0.5,1.412446410832152,1.0
21,0.5,0.9008420284270664,0.5
19,0.5,0.836427391077769,0.5
17,0.5,1.0001349710541867,1.0
24,0.5,0.6584148758040005,0.5
17,0.5,0.986081054296568,1.0
12,0.5,1.1175632933179063,1.0
20,0.5,0.859910022806956,0.5
16,0.5,0.9328496594504012,1.0
12,0.5,1.320382642979716,1.0
20,0.5,0.8701586695369529,0.5
17,0.5,0.99447050175861,0.5
26,0.5,0.30184917458996635,0.5
26,0.5,0.30945708753588147,0.5
15,0.5,0.9737875743230534,1.0
25,0.5,0.43595230494235193,0.5
25,0.5,0.5942542470135254,0.5
11,0.5,1.3224035505956406,1.0
11,1.0,1.3726266426001028,1.0
20,1.0,0.7967536305828742,0.5
11,1.0,1.459537897456573,1.0
10,1.0,1.3277457827524142,1.0
11,1.0,1.1142406009154966,1.0
9,1.0,1.6140276745303264,3.0
17,1.0,0.9948382093699975,0.5
11,1.0,1.2622730868174241,1.0
16,1.0,0.9446535770089436,1.0
12,1.0,1.107582044106228,1.0
11,1.0,1.088576445748789,1.0
10,1.0,1.734598981032865,3.0
12,1.0,1.0052834025170068,1.0
11,1.0,1.3884107264640504,1.0
8,1.0,1.3221996560780458,8.0
12,1.0,1.0036601064143515,1.0
8,1.0,1.2419473053007728,8.0
10,1.0,1.8647597259826165,1.0
8,1.0,1.1584135123264876,8.0
21,1.0,0.963177149645425,0.5
9,1.0,1.452915453192447,3.0
8,1.0,1.3955285875704393,8.0
11,1.0,1.5648108189785466,1.0
10,1.0,1.394429213190815,1.0
10,1.0,1.38133523119892,1.0
8,1.0,1.206987069788633,8.0
14,1.0,0.8557531160064813,1.0
11,1.0,1.0584366579853997,1.0
18,1.0,1.0026572593900633,0.5
16,1.0,0.9737906386715715,1.0
9,1.0,1.6158273791009434,3.0
18,1.0,0.9995217188173092,1.0
10,1.0,1.7337973672560978,8.0
11,1.0,1.3740876469347858,1.0
14,1.0,0.9534726434913936,1.0
11,1.0,1.4335502654059167,1.0
12,1.0,0.9829874373271681,1.0
14,1.0,1.0230278272920927,1.0
11,1.0,1.0687567117177164,1.0
10,1.0,1.3453400321667695,1.0
11,1.0,1.3788815798108685,1.0
