beta,episode_id,goal_name,states,actions,num_steps
0.5,1,A,"(1,1);(1,2);(1,3);(1,2);(1,2);(1,3);(1,4);(1,4);(1,4);(1,5);(1,5);(1,5);(1,5);(1,5);(1,5);(2,5);(1,5);(2,5);(2,5);(3,5);(2,5);(3,5);(4,5);(4,5);(5,5)",UP;UP;DOWN;LEFT;UP;UP;LEFT;LEFT;UP;LEFT;UP;LEFT;UP;UP;RIGHT;LEFT;RIGHT;UP;RIGHT;LEFT;RIGHT;RIGHT;UP;RIGHT,24
0.5,2,A,"(1,1);(2,1);(3,1);(3,1);(4,1);(4,2);(4,3);(4,4);(4,5);(5,5)",RIGHT;RIGHT;DOWN;RIGHT;UP;UP;UP;UP;RIGHT,9
0.5,3,A,"(1,1);(1,1);(1,2);(2,2);(1,2);(1,3);(1,4);(2,4);(2,5);(2,4);(2,5);(2,4);(3,4);(3,5);(3,5);(4,5);(5,5)",DOWN;UP;RIGHT;LEFT;UP;UP;RIGHT;UP;DOWN;UP;DOWN;RIGHT;UP;UP;RIGHT;RIGHT,16
0.5,4,A,"(1,1);(2,1);(2,1);(2,2);(2,3);(2,2);(3,2);(4,2);(5,2);(5,3);(4,3);(5,3);(5,4);(5,3);(5,4);(5,5)",RIGHT;DOWN;UP;UP;DOWN;RIGHT;RIGHT;RIGHT;UP;LEFT;RIGHT;UP;DOWN;UP;UP,15
0.5,5,A,"(1,1);(1,1);(1,1);(2,1);(2,2);(2,1);(2,2);(3,2);(4,2);(4,3);(5,3);(5,3);(5,4);(5,3);(5,4);(4,4);(5,4);(5,5)",DOWN;DOWN;RIGHT;UP;DOWN;UP;RIGHT;RIGHT;UP;RIGHT;RIGHT;UP;DOWN;UP;LEFT;RIGHT;UP,17
0.5,6,A,"(1,1);(1,1);(2,1);(3,1);(4,1);(5,1);(5,2);(4,2);(5,2);(5,3);(5,4);(5,5)",LEFT;RIGHT;RIGHT;RIGHT;RIGHT;UP;LEFT;RIGHT;UP;UP;UP,11
0.5,7,A,"(1,1);(1,2);(2,2);(3,2);(3,1);(3,2);(3,1);(2,1);(1,1);(1,2);(1,2);(1,2);(1,2);(1,2);(1,3);(1,4);(2,4);(2,5);(2,5);(2,5);(2,5);(3,5);(4,5);(5,5)",UP;RIGHT;RIGHT;DOWN;UP;DOWN;LEFT;LEFT;UP;LEFT;LEFT;LEFT;LEFT;UP;UP;RIGHT;UP;UP;UP;UP;RIGHT;RIGHT;RIGHT,23
0.5,8,A,"(1,1);(1,2);(1,3);(1,4);(1,5);(2,5);(3,5);(4,5);(4,5);(4,4);(5,4);(5,5)",UP;UP;UP;UP;RIGHT;RIGHT;RIGHT;UP;DOWN;RIGHT;UP,11
0.5,9,A,"(1,1);(1,2);(1,2);(1,1);(1,1);(2,1);(3,1);(4,1);(4,1);(4,1);(4,2);(5,2);(5,3);(5,2);(5,3);(5,2);(4,2);(4,3);(4,3);(5,3);(5,3);(5,4);(5,3);(5,4);(5,5)",UP;LEFT;DOWN;LEFT;RIGHT;RIGHT;RIGHT;DOWN;DOWN;UP;RIGHT;UP;DOWN;UP;DOWN;LEFT;UP;LEFT;RIGHT;RIGHT;UP;DOWN;UP;UP,24
0.5,10,A,"(1,1);(1,1);(2,1);(3,1);(4,1);(4,1);(4,1);(4,1);(5,1);(5,2);(5,3);(5,3);(5,3);(5,2);(5,1);(5,1);(4,1);(4,2);(5,2);(5,1);(5,1);(5,1);(5,1);(5,2);(5,3);(5,3);(5,2);(5,1);(5,1);(5,1);(5,2)",LEFT;RIGHT;RIGHT;RIGHT;DOWN;DOWN;DOWN;RIGHT;UP;UP;RIGHT;RIGHT;DOWN;DOWN;RIGHT;LEFT;UP;RIGHT;DOWN;RIGHT;DOWN;RIGHT;UP;UP;RIGHT;DOWN;DOWN;DOWN;RIGHT;UP,30
0.5,11,A,"(1,1);(1,1);(1,2);(1,2);(1,2);(1,2);(2,2);(2,3);(2,2);(2,3);(2,3);(2,3);(1,3);(1,3);(1,4);(1,5);(1,5);(1,5);(2,5);(3,5);(2,5);(3,5);(2,5);(2,5);(1,5);(1,5);(1,4);(1,5);(1,5);(2,5);(2,5)",DOWN;UP;LEFT;LEFT;LEFT;RIGHT;UP;DOWN;UP;RIGHT;RIGHT;LEFT;LEFT;UP;UP;LEFT;UP;RIGHT;RIGHT;LEFT;RIGHT;LEFT;UP;LEFT;LEFT;DOWN;UP;LEFT;RIGHT;UP,30
